object_id,curiosity_text,source_label,source_url,verified
"sun","Il Sole non ruota come un corpo rigido: essendo plasma, completa una rotazione in circa 25 giorni terrestri all'equatore e in circa 36 giorni ai poli. Per questo la durata del suo giorno dipende dalla latitudine osservata.","NASA Science","https://science.nasa.gov/sun/facts/",1
"moon","La Luna mostra sempre quasi la stessa faccia perché rotazione e rivoluzione hanno la stessa durata. La faccia nascosta rimase sconosciuta fino al 1959, quando la sonda sovietica Luna 3 ne trasmise le prime immagini.","NASA Solar System","https://science.nasa.gov/moon/facts/",1
"mercury","Su Mercurio un giorno solare dura 176 giorni terrestri, il doppio del suo anno. È l'effetto della risonanza 3:2: il pianeta compie tre rotazioni ogni due orbite attorno al Sole.","NASA Solar System","https://science.nasa.gov/mercury/facts/",1
"venus","Venere ruota in senso opposto rispetto alla maggior parte dei pianeti e impiega più tempo a girare su se stessa che a completare un'orbita. Sul pianeta, quindi, il giorno siderale è più lungo dell'anno.","NASA Solar System","https://science.nasa.gov/venus/venus-facts/",1
"mars","Olympus Mons, su Marte, è il vulcano più grande del Sistema Solare: la sua base occuperebbe una regione paragonabile alla Polonia e la sommità supera di oltre due volte l'Everest sul livello medio marziano.","NASA Solar System","https://science.nasa.gov/mars/facts/",1
"jupiter","Giove ha il giorno più breve fra i pianeti, meno di dieci ore. La rotazione rapidissima schiaccia il globo ai poli e trascina sistemi nuvolosi come la Grande Macchia Rossa, una tempesta osservata da secoli.","NASA Solar System","https://science.nasa.gov/jupiter/facts/",1
"saturn","La densità media di Saturno è inferiore a quella dell'acqua. I suoi anelli, pur estendendosi per centinaia di migliaia di chilometri, sono composti soprattutto da innumerevoli frammenti di ghiaccio e hanno uno spessore sorprendentemente ridotto.","NASA Solar System","https://science.nasa.gov/saturn/facts/",1
"uranus","Urano ruota quasi coricato sul piano orbitale, con un'inclinazione assiale di circa 98 gradi. Durante il suo anno di 84 anni terrestri, ciascun polo può restare illuminato o al buio per circa 21 anni.","NASA Solar System","https://science.nasa.gov/uranus/facts/",1
"neptune","Nettuno fu individuato nel 1846 dopo essere stato previsto matematicamente dalle perturbazioni dell'orbita di Urano. Nonostante riceva poca energia solare, nella sua atmosfera soffiano i venti più veloci del Sistema Solare.","NASA Solar System","https://science.nasa.gov/neptune/neptune-facts/",1
"messier-M1","Nel cuore della Nebulosa del Granchio resta una stella di neutroni larga quanto una città. Ruota circa trenta volte al secondo e alimenta il bagliore della nebulosa con un vento di particelle relativistiche.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-1/",1
"messier-M2","M2 raccoglie circa 150.000 stelle in una sfera antichissima, formata approssimativamente 13 miliardi di anni fa. Le sue stelle più dense occupano un volume che, su scala galattica, è estremamente compatto.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-2/",1
"messier-M3","In M3 sono state catalogate più di 270 stelle variabili, un numero eccezionale per un ammasso globulare. Molte sono RR Lyrae, candele standard decisive per misurare distanze all'interno della Via Lattea.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-3/",1
"messier-M4","M4 ospita il sistema PSR B1620-26, dove una pulsar e una nana bianca sono orbitate da un pianeta soprannominato Matusalemme. La sua età stimata, oltre 12 miliardi di anni, lo rende uno dei pianeti più antichi conosciuti.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-4/",1
"messier-M5","Le stelle di M5 si formarono oltre 12 miliardi di anni fa, ma l'ammasso contiene anche stelle blu apparentemente più giovani. Sono blue straggler, ringiovanite da fusioni o trasferimenti di materia tra compagne.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-5/",1
"messier-M6","La sagoma di M6 ricorda una farfalla, ma il suo contrasto cromatico più notevole è BM Scorpii: una gigante arancione che spicca fra le stelle azzurre e più giovani dell'ammasso.","Wikipedia","https://en.wikipedia.org/wiki/Butterfly_Cluster",1
"messier-M7","M7 era già descritto da Tolomeo nel II secolo come una nebulosità presso il pungiglione dello Scorpione. È l'oggetto Messier più meridionale e uno dei pochi con una testimonianza osservativa tanto antica.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-7/",1
"messier-M8","Dentro la Laguna, la regione chiamata Nebulosa Clessidra è scolpita soprattutto dalla giovane stella massiccia Herschel 36. Radiazione e venti stellari stanno erodendo le nubi dalle quali continuano a nascere nuove stelle.","NASA Hubble","https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-8/",1
